Entering layer init
Entering render loop

STATE: Start
image_source.c: set feature                           fidx =               0
SETTING fidx 0
image_source.c: set feature           white-balance-manual =               1 (double     1.000000). Actually set to    1.000
image_source.c: set feature              white-balance-red =             400 (double   400.000000). Actually set to  400.000
image_source.c: set feature             white-balance-blue =             714 (double   714.000000). Actually set to  714.000
psize_unit: 376, psize_max: 3008, packet_size: 3008

STATE: Wait
Layer being created
disp: 23774112, key 0
Layer being created
disp: 23774112, key 0
Layer being created
disp: 23774112, key 0
Layer being created
disp: 23774112, key 0
hash table size after insert: 4
NFO: World serialization fell behind
1392192687.795561, 1.570796
0.050415, 1.570796
0.050904, 1.570796
0.050262, 1.570796
0.050202, 1.570796
0.050201, 1.570796
0.050262, 1.570796
0.050202, 1.570796
0.050507, 1.570796
0.050231, 1.529917
0.050202, 1.439981
0.050506, 1.300990
0.050415, 1.132021
0.050324, 0.941248
0.050201, 0.734124
0.050232, 0.537902
0.050232, 0.341679
0.050232, 0.150907
0.050232, -0.039865
0.050232, -0.225187
0.050201, -0.385980
0.054596, -0.519521
0.050232, -0.587654
0.050232, -0.584928
0.050202, -0.560400
0.050232, -0.535873
0.050354, -0.486817
0.050659, -0.454113
0.050201, -0.415959
0.050263, -0.353276
0.050598, -0.260616
0.050690, -0.157054
0.050201, -0.050766
0.050812, 0.047345
0.050842, 0.131830
0.050262, 0.205413
0.050232, 0.265370
0.050263, 0.314426
0.050201, 0.330778
0.050232, 0.303525
0.050446, 0.259920
0.050293, 0.229941
0.050232, 0.229941
0.050293, 0.199963
0.050659, 0.148182
0.050171, 0.082774
0.050232, 0.003740
0.050232, -0.072569
0.050201, -0.132526
0.050201, -0.162504
0.050202, -0.165230
0.050354, -0.181582
0.051025, -0.189757
0.050232, -0.192483
0.050415, -0.192483
0.050476, -0.192483
0.050781, -0.192483
0.050232, -0.170680
0.050232, -0.132526
0.050202, -0.086195
0.050201, -0.039865
0.050202, 0.001015
0.050293, 0.039169
0.050506, 0.071873
1.609436, -1.570796
0.050232, -1.570796
0.050232, -1.570796
0.050201, -1.570796
0.050202, -1.570796
0.050201, -1.570796
0.050202, -1.570796
0.050201, -1.570796
0.050202, -1.570796
0.050232, -1.565346
0.050201, -1.516290
0.050201, -1.426355
0.050171, -1.311891
0.050232, -1.175626
0.050202, -1.028459
0.050201, -0.881292
0.050201, -0.717773
0.050202, -0.551528
0.050232, -0.377108
0.050201, -0.210864
0.050324, -0.047345
0.050415, 0.097097
0.050750, 0.217011
0.050293, 0.315122
0.050324, 0.396881
0.050842, 0.437761
0.050202, 0.432311
0.050201, 0.410508
0.050293, 0.361452
0.050201, 0.320573
0.050202, 0.317847
0.050201, 0.290594
0.050232, 0.241538
0.050385, 0.159779
0.050232, 0.056217
0.050293, -0.050070
0.050232, -0.153632
0.050201, -0.216315
0.050262, -0.224490
0.050232, -0.246293
0.050232, -0.276271
0.050263, -0.295349
0.050201, -0.276271
0.050446, -0.259920
0.050201, -0.262645
0.050263, -0.238117
0.050170, -0.205413
0.050293, -0.150907
0.050232, -0.096401
0.050324, -0.041894
0.050354, 0.020788
0.050384, 0.075294
0.050232, 0.127075
0.050202, 0.173406
0.050232, 0.203384
0.050171, 0.203384
0.050231, 0.203384
0.050232, 0.203384
0.050263, 0.203384
0.050201, 0.203384
0.050446, 0.203384
0.050690, 0.187032
0.050231, 0.151603
0.050293, 0.091646
0.050354, 0.020788
0.050263, -0.047345
0.050232, -0.112753
0.050232, -0.178160
0.050873, -0.240842
0.050201, -0.303525
0.050232, -0.349855
0.050232, -0.352580
0.050232, -0.352580
0.051117, -0.352580
0.050964, -0.352580
0.050263, -0.336228
0.050476, -0.308975
0.050262, -0.259920
0.050201, -0.205413
0.050232, -0.140006
0.050263, -0.071873
0.050415, -0.009191
0.050262, 0.053492
0.050202, 0.116174
0.050201, 0.165230
0.050293, 0.208835
0.050202, 0.238813
0.050201, 0.238813
0.050232, 0.219736
0.050201, 0.197933
0.050232, 0.197933
0.050263, 0.197933
0.050262, 0.176131
0.050324, 0.140702
0.050323, 0.078020
0.050232, 0.007161
0.050232, -0.066422
0.050293, -0.126379
0.050232, -0.129104
0.050232, -0.145456
0.050232, -0.175435
0.050354, -0.205413
0.050476, -0.205413
0.050262, -0.205413
0.050415, -0.205413
0.050232, -0.205413
0.050263, -0.191787
0.050201, -0.161808
0.050232, -0.123654
0.050415, -0.082774
0.050537, -0.036444
0.050293, 0.007161
0.050171, 0.053492
0.050354, 0.102547
0.050751, 0.143427
0.051147, 0.176131
0.050232, 0.176131
0.050263, 0.176131
0.050598, 0.176131
0.050232, 0.176131
0.050232, 0.176131
0.050201, 0.176131
0.050751, 0.162504
0.050781, 0.121625
0.050263, 0.064393
0.050201, -0.001015
0.050354, -0.063697
0.050232, -0.126379
0.050232, -0.189061
0.050232, -0.246293
0.050262, -0.303525
0.050232, -0.358031
0.050263, -0.358031
0.050232, -0.358031
0.050567, -0.358031
0.051117, -0.358031
0.050232, -0.355306
0.050293, -0.333503
0.050171, -0.303525
0.050232, -0.259920
0.050293, -0.208139
0.050262, -0.148182
0.050202, -0.082774
0.050293, -0.017367
0.050232, 0.045316
0.050262, 0.107998
0.050415, 0.165230
0.051025, 0.260616
0.050354, 0.260616
0.050660, 0.257890
0.050293, 0.222461
0.050232, 0.225187
0.050201, 0.225187
0.050293, 0.219736
0.050232, 0.181582
0.050262, 0.181582
0.054535, 0.058942
0.050293, -0.014641
0.050324, -0.080049
0.050232, -0.085499
0.050232, -0.118203
0.050262, -0.156358
0.050201, -0.202688
0.050232, -0.208139
0.050232, -0.238117
0.050263, -0.232666
0.050232, -0.232666
0.050476, -0.232666
0.050323, -0.232666
0.050263, -0.208139
0.050232, -0.180885
0.050293, -0.153632
0.050231, -0.123654
0.050354, -0.090950
0.050355, -0.052796
0.050292, -0.017367
0.050934, 0.023513
0.050293, 0.061668
1.886780, 1.570796
0.050415, 1.570796
0.050202, 1.570796
0.050354, 1.570796
0.050201, 1.570796
0.050232, 1.570796
0.050262, 1.570796
0.050202, 1.570796
0.050232, 1.570796
0.050232, 1.527191
0.050201, 1.434531
0.050201, 1.300990
0.050202, 1.132021
0.050232, 0.963051
0.050201, 0.783180
0.050232, 0.600584
0.050171, 0.417988
0.050201, 0.238117
0.050324, 0.058246
0.050201, -0.110723
0.050293, -0.260616
0.050202, -0.394156
0.050232, -0.456838
0.050293, -0.462289
0.050262, -0.454113
0.050202, -0.435036
0.050201, -0.405057
0.050262, -0.399607
0.050232, -0.372354
0.050171, -0.3205
